               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.019891,            0.015927,           0.0018825,             0.94581,             0.78078,             0.83924,             0.54457,            0.022026,            0.019344,           0.0028808,           0.0099663,           0.0099663,           0.0099663
                  80,             0.02025,            0.016244,           0.0018496,             0.82119,             0.83097,             0.82818,             0.52751,            0.022635,            0.020769,           0.0034435,           0.0099654,           0.0099654,           0.0099654
                  81,            0.017857,            0.016446,           0.0017574,             0.90914,             0.75127,             0.82449,             0.52624,            0.022332,             0.02109,           0.0038597,           0.0099645,           0.0099645,           0.0099645
                  82,            0.019334,            0.015995,           0.0016042,             0.91038,             0.77761,             0.84844,             0.54494,            0.023229,            0.020728,           0.0027234,           0.0099636,           0.0099636,           0.0099636
                  83,            0.019106,            0.017031,           0.0017749,             0.89753,             0.78141,             0.83685,             0.54066,            0.022392,            0.020558,           0.0034085,           0.0099627,           0.0099627,           0.0099627
                  84,            0.019752,            0.015952,           0.0015915,             0.90523,             0.80526,             0.86296,              0.5307,            0.023233,            0.020588,           0.0035006,           0.0099618,           0.0099618,           0.0099618
                  85,            0.019946,            0.016645,           0.0018789,             0.95495,             0.79991,             0.87194,             0.55831,            0.022484,            0.020875,           0.0037163,           0.0099609,           0.0099609,           0.0099609
                  86,            0.019239,            0.016423,           0.0018851,             0.92041,             0.79463,             0.84743,             0.55057,            0.022342,            0.020567,           0.0036683,           0.0099599,           0.0099599,           0.0099599
                  87,            0.019328,            0.016933,           0.0016203,             0.88431,             0.77832,             0.84021,             0.53793,            0.022574,            0.020522,           0.0038817,            0.009959,            0.009959,            0.009959
                  88,            0.018391,            0.016562,           0.0015966,             0.94572,             0.76419,             0.83079,             0.54388,            0.022653,            0.020085,           0.0037316,            0.009958,            0.009958,            0.009958
                  89,            0.019146,             0.01629,           0.0019324,             0.89658,             0.80414,             0.84786,             0.55108,            0.022684,            0.020173,           0.0037542,           0.0099571,           0.0099571,           0.0099571
                  90,            0.020173,            0.015485,           0.0016904,             0.90056,             0.78771,             0.84501,             0.54498,            0.023089,            0.020013,           0.0034801,           0.0099561,           0.0099561,           0.0099561
                  91,            0.018536,             0.01598,           0.0017194,             0.92735,             0.75699,             0.83178,             0.54473,            0.022547,            0.020265,           0.0035848,           0.0099551,           0.0099551,           0.0099551
                  92,            0.018191,            0.015578,           0.0018897,             0.80237,             0.80375,             0.81043,             0.51959,            0.022191,            0.020702,           0.0043978,           0.0099541,           0.0099541,           0.0099541
                  93,            0.018502,            0.016867,           0.0025708,             0.89141,             0.76745,             0.81462,             0.53504,            0.022432,            0.019635,           0.0039761,           0.0099531,           0.0099531,           0.0099531
                  94,             0.01865,            0.015771,           0.0018291,             0.91818,             0.76777,             0.81166,             0.49896,            0.022084,            0.020311,           0.0049886,           0.0099521,           0.0099521,           0.0099521
